Czas gry: 7.3s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 9.s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 7.6s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 8.5s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 6.6s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 7.0s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 7.5s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 8.s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 9.s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 9.2s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 7.9s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 7.7s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 7.4s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
Czas gry: 26s ilosc zbitych Kuba: 0 ilosc zbitych Witek: 10 ilosc tur: 1
Czas gry: 10.s ilosc zbitych Gracz: 10 ilosc zbitych Gracz: 0 ilosc tur: 1
